statistic,point,boot_mean,ci_lo,ci_hi
raw_f1_share,74.54,84.23306444477691,70.86357808496744,90.78781342787411
resid_f1_share,59.64,71.90847852616267,53.73216824081106,86.32596906907783
drop_pp,14.91,12.324585918614233,-5.336618716196968,32.731282231219176
