target,rung,learner,selected_hyperparameters,modal_count
omniscience,v_kfac_cov,ridge,"{""alpha"": 3}",5/5
omniscience,v_kfac_cov,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
omniscience,v_kfac_cov,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",3/5
omniscience,v_kfac_cov,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",4/5
tau2,i_date,ridge,"{""alpha"": 1}",3/5
tau2,i_date,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
tau2,i_date,rf,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
tau2,i_date,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
tau2,ii_meanidx,ridge,"{""alpha"": 1}",2/5
tau2,ii_meanidx,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
tau2,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",4/5
tau2,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
tau2,iii_f1,ridge,"{""alpha"": 30}",4/5
tau2,iii_f1,elasticnet,"{""alpha"": 0.30000000000000004, ""l1_ratio"": 0.2}",2/5
tau2,iii_f1,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
tau2,iii_f1,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
tau2,iv_kfac,ridge,"{""alpha"": 1}",3/5
tau2,iv_kfac,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
tau2,iv_kfac,rf,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2/5
tau2,iv_kfac,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",4/5
tau2,v_kfac_cov,ridge,"{""alpha"": 3}",2/5
tau2,v_kfac_cov,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.8}",5/5
tau2,v_kfac_cov,rf,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
tau2,v_kfac_cov,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",4/5
ifbench,i_date,ridge,"{""alpha"": 1}",3/5
ifbench,i_date,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
ifbench,i_date,rf,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 300}",3/5
ifbench,i_date,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
ifbench,ii_meanidx,ridge,"{""alpha"": 3}",3/5
ifbench,ii_meanidx,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
ifbench,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",4/5
ifbench,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
ifbench,iii_f1,ridge,"{""alpha"": 30}",3/5
ifbench,iii_f1,elasticnet,"{""alpha"": 0.30000000000000004, ""l1_ratio"": 0.8}",2/5
ifbench,iii_f1,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",5/5
ifbench,iii_f1,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
ifbench,iv_kfac,ridge,"{""alpha"": 1}",3/5
ifbench,iv_kfac,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
ifbench,iv_kfac,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",3/5
ifbench,iv_kfac,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",3/5
ifbench,v_kfac_cov,ridge,"{""alpha"": 1}",3/5
ifbench,v_kfac_cov,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.5}",3/5
ifbench,v_kfac_cov,rf,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",2/5
ifbench,v_kfac_cov,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",4/5
lcr,i_date,ridge,"{""alpha"": 1}",4/5
lcr,i_date,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
lcr,i_date,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
lcr,i_date,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
lcr,ii_meanidx,ridge,"{""alpha"": 1}",4/5
lcr,ii_meanidx,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
lcr,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",5/5
lcr,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
lcr,iii_f1,ridge,"{""alpha"": 30}",5/5
lcr,iii_f1,elasticnet,"{""alpha"": 1, ""l1_ratio"": 0.5}",3/5
lcr,iii_f1,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",5/5
lcr,iii_f1,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
lcr,iv_kfac,ridge,"{""alpha"": 0.30000000000000004}",4/5
lcr,iv_kfac,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
lcr,iv_kfac,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",5/5
lcr,iv_kfac,gbm,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",2/5
lcr,v_kfac_cov,ridge,"{""alpha"": 1}",2/5
lcr,v_kfac_cov,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",4/5
lcr,v_kfac_cov,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",4/5
lcr,v_kfac_cov,gbm,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",3/5
scicode,i_date,ridge,"{""alpha"": 3}",2/5
scicode,i_date,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
scicode,i_date,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",4/5
scicode,i_date,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
scicode,ii_meanidx,ridge,"{""alpha"": 0.03}",4/5
scicode,ii_meanidx,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
scicode,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",4/5
scicode,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
scicode,iii_f1,ridge,"{""alpha"": 30}",4/5
scicode,iii_f1,elasticnet,"{""alpha"": 0.30000000000000004, ""l1_ratio"": 0.2}",2/5
scicode,iii_f1,rf,"{""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
scicode,iii_f1,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
scicode,iv_kfac,ridge,"{""alpha"": 0.03}",5/5
scicode,iv_kfac,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
scicode,iv_kfac,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2/5
scicode,iv_kfac,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",3/5
scicode,v_kfac_cov,ridge,"{""alpha"": 1}",3/5
scicode,v_kfac_cov,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
scicode,v_kfac_cov,rf,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",4/5
scicode,v_kfac_cov,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",2/5
critpt,i_date,ridge,"{""alpha"": 10}",5/5
critpt,i_date,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.2}",4/5
critpt,i_date,rf,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",3/5
critpt,i_date,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
critpt,ii_meanidx,ridge,"{""alpha"": 0.03}",3/5
critpt,ii_meanidx,elasticnet,"{""alpha"": 0.03, ""l1_ratio"": 0.2}",5/5
critpt,ii_meanidx,rf,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 300}",4/5
critpt,ii_meanidx,gbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",5/5
critpt,iii_f1,ridge,"{""alpha"": 30}",2/5
