cluster,gpqa,hle,omniscience,tau2,ifbench,lcr,scicode,critpt,terminalbenchHard,n,med_release,mean_intelIndex
0,0.597,0.07,-50.406,0.398,0.418,0.263,0.267,0.002,0.101,302,2025-09-27,13.7
1,0.861,0.266,-7.438,0.843,0.671,0.65,0.456,0.056,0.393,107,2026-03-11,37.1
